WorkerRole,Age,Experience,FloorLevel,ShiftHours,Mood,Helmet,Harness,HarnessAnchor,GuardRail,Scaffold,OpenEdge,NearMiss,Shift,RiskLevel
बढ़ई (Carpenter),26–35 वर्ष,1 वर्ष से कम,4–6 मंजिल,8 घंटे से कम,😄 खुश,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
इलेक्ट्रीशियन (Electrician),36–45 वर्ष,5 वर्ष से अधिक,10 से अधिक मंजिल,12 घंटे से अधिक,🙂 सामान्य,हाँ,हाँ,नहीं,नहीं,थोड़ा अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
हेल्पर (Helper),36–45 वर्ष,1 वर्ष से कम,7–10 मंजिल,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,नहीं,थोड़ा अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
हेल्पर (Helper),18–25 वर्ष,3–5 वर्ष,10 से अधिक मंजिल,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
हेल्पर (Helper),26–35 वर्ष,1 वर्ष से कम,4–6 मंजिल,8–10 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
हेल्पर (Helper),45 वर्ष से अधिक,3–5 वर्ष,1–3 मंजिल,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,लागू नहीं,हाँ,थोड़ा अस्थिर,नहीं,हाँ,🌞 दिन की शिफ्ट (Day Shift),🟡 मध्यम जोखिम
राजमिस्त्री (Mason),26–35 वर्ष,5 वर्ष से अधिक,10 से अधिक मंजिल,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
इलेक्ट्रीशियन (Electrician),18–25 वर्ष,1 वर्ष से कम,10 से अधिक मंजिल,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,नहीं,नहीं,अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
हेल्पर (Helper),26–35 वर्ष,5 वर्ष से अधिक,4–6 मंजिल,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
बढ़ई (Carpenter),18–25 वर्ष,1–3 वर्ष,1–3 मंजिल,8–10 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,हाँ,हाँ,थोड़ा अस्थिर,हाँ,नहीं,🌙 रात की शिफ्ट (Night Shift),🟡 मध्यम जोखिम
राजमिस्त्री (Mason),26–35 वर्ष,3–5 वर्ष,7–10 मंजिल,8–10 घंटे,😄 खुश,हाँ,हाँ,हाँ,हाँ,स्थिर,हाँ,हाँ,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
स्कैफोल्डर (Scaffolder),45 वर्ष से अधिक,1 वर्ष से कम,1–3 मंजिल,8 घंटे से कम,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
हेल्पर (Helper),18–25 वर्ष,1–3 वर्ष,भूतल (Ground Floor),8 घंटे से कम,😄 खुश,हाँ,हाँ,लागू नहीं,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
बढ़ई (Carpenter),45 वर्ष से अधिक,1 वर्ष से कम,10 से अधिक मंजिल,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,लागू नहीं,नहीं,थोड़ा अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
इलेक्ट्रीशियन (Electrician),36–45 वर्ष,1 वर्ष से कम,1–3 मंजिल,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,हाँ,🌞 दिन की शिफ्ट (Day Shift),🟡 मध्यम जोखिम
स्कैफोल्डर (Scaffolder),26–35 वर्ष,1–3 वर्ष,4–6 मंजिल,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,हाँ,नहीं,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,3–5 वर्ष,भूतल (Ground Floor),8–10 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
बढ़ई (Carpenter),36–45 वर्ष,1–3 वर्ष,7–10 मंजिल,8–10 घंटे,🙂 सामान्य,हाँ,हाँ,लागू नहीं,हाँ,थोड़ा अस्थिर,नहीं,नहीं,🌙 रात की शिफ्ट (Night Shift),🟡 मध्यम जोखिम
स्कैफोल्डर (Scaffolder),36–45 वर्ष,1 वर्ष से कम,भूतल (Ground Floor),8–10 घंटे,😄 खुश,हाँ,हाँ,लागू नहीं,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
राजमिस्त्री (Mason),18–25 वर्ष,1 वर्ष से कम,भूतल (Ground Floor),8 घंटे से कम,😄 खुश,हाँ,हाँ,लागू नहीं,हाँ,स्थिर,नहीं,नहीं,🌙 रात की शिफ्ट (Night Shift),🟢 सुरक्षित
स्कैफोल्डर (Scaffolder),36–45 वर्ष,5 वर्ष से अधिक,7–10 मंजिल,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,हाँ,हाँ,स्थिर,नहीं,नहीं,🌞 दिन की शिफ्ट (Day Shift),🟢 सुरक्षित
स्कैफोल्डर (Scaffolder),45 वर्ष से अधिक,3–5 वर्ष,7–10 मंजिल,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,नहीं,अस्थिर,हाँ,हाँ,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
इलेक्ट्रीशियन (Electrician),45 वर्ष से अधिक,5 वर्ष से अधिक,4–6 मंजिल,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,नहीं,थोड़ा अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
बढ़ई (Carpenter),26–35 वर्ष,1 वर्ष से कम,4–6 मंजिल,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,लागू नहीं,नहीं,थोड़ा अस्थिर,हाँ,नहीं,🌞 दिन की शिफ्ट (Day Shift),🔴 बहुत अधिक जोखिम
