WorkerRole,Age,Experience,Depth,Shift,ShiftHours,Mood,Helmet,WaterSeepage,Shoring,Cracks,Machinery,Material,NearMiss,RiskLevel
राजमिस्त्री (Mason),45 वर्ष से अधिक,3–5 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
हेल्पर (Helper),45 वर्ष से अधिक,1–3 वर्ष,5 मीटर से अधिक,🌞 दिन की शिफ्ट,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,नहीं,हाँ,हाँ,नहीं,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),26–35 वर्ष,1–3 वर्ष,5 मीटर से अधिक,🌙 रात की शिफ्ट,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,नहीं,हाँ,हाँ,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),18–25 वर्ष,1–3 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),18–25 वर्ष,5 वर्ष से अधिक,1 मीटर से कम,🌞 दिन की शिफ्ट,8–10 घंटे,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,1–3 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,हाँ,🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,1–3 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,8–10 घंटे,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),18–25 वर्ष,5 वर्ष से अधिक,3–5 मीटर,🌙 रात की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,नहीं,हाँ,हाँ,हाँ,नहीं,🔴 बहुत अधिक जोखिम
पर्यवेक्षक / सुपरवाइजर (Supervisor),45 वर्ष से अधिक,5 वर्ष से अधिक,1–3 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),36–45 वर्ष,5 वर्ष से अधिक,3–5 मीटर,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,पता नहीं,नहीं,हाँ,नहीं,नहीं,🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,3–5 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8–10 घंटे,😄 खुश,हाँ,हाँ,हाँ,नहीं,नहीं,हाँ,नहीं,🟢 सुरक्षित
हेल्पर (Helper),36–45 वर्ष,1–3 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8–10 घंटे,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
मशीन ऑपरेटर (Machine Operator),45 वर्ष से अधिक,5 वर्ष से अधिक,3–5 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),26–35 वर्ष,3–5 वर्ष,3–5 मीटर,🌙 रात की शिफ्ट,12 घंटे से अधिक,🙂 सामान्य,हाँ,हाँ,नहीं,हाँ,नहीं,नहीं,हाँ,🔴 बहुत अधिक जोखिम
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,5 वर्ष से अधिक,3–5 मीटर,🌙 रात की शिफ्ट,8–10 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,हाँ,नहीं,नहीं,हाँ,नहीं,🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,1–3 वर्ष,5 मीटर से अधिक,🌙 रात की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,1–3 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),36–45 वर्ष,1 वर्ष से कम,1–3 मीटर,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,हाँ,नहीं,हाँ,नहीं,🟡 मध्यम जोखिम
मशीन ऑपरेटर (Machine Operator),36–45 वर्ष,5 वर्ष से अधिक,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
राजमिस्त्री (Mason),26–35 वर्ष,5 वर्ष से अधिक,5 मीटर से अधिक,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,हाँ,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),26–35 वर्ष,3–5 वर्ष,3–5 मीटर,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
राजमिस्त्री (Mason),45 वर्ष से अधिक,5 वर्ष से अधिक,5 मीटर से अधिक,🌞 दिन की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,हाँ,हाँ,नहीं,नहीं,🔴 बहुत अधिक जोखिम
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,5 वर्ष से अधिक,5 मीटर से अधिक,🌞 दिन की शिफ्ट,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,नहीं,हाँ,हाँ,नहीं,हाँ,🔴 बहुत अधिक जोखिम
पर्यवेक्षक / सुपरवाइजर (Supervisor),36–45 वर्ष,1–3 वर्ष,5 मीटर से अधिक,🌙 रात की शिफ्ट,12 घंटे से अधिक,🙂 सामान्य,हाँ,नहीं,नहीं,हाँ,नहीं,नहीं,हाँ,🔴 बहुत अधिक जोखिम
खुदाई कार्यकर्ता (Excavation Worker),18–25 वर्ष,3–5 वर्ष,3–5 मीटर,🌞 दिन की शिफ्ट,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,हाँ,नहीं,नहीं,नहीं,नहीं,🟡 मध्यम जोखिम
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,5 वर्ष से अधिक,3–5 मीटर,🌙 रात की शिफ्ट,12 घंटे से अधिक,🙂 सामान्य,हाँ,नहीं,नहीं,हाँ,नहीं,हाँ,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),18–25 वर्ष,1–3 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
राजमिस्त्री (Mason),26–35 वर्ष,1–3 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),36–45 वर्ष,3–5 वर्ष,3–5 मीटर,🌞 दिन की शिफ्ट,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,नहीं,हाँ,हाँ,हाँ,नहीं,🔴 बहुत अधिक जोखिम
मशीन ऑपरेटर (Machine Operator),36–45 वर्ष,3–5 वर्ष,5 मीटर से अधिक,🌙 रात की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,हाँ,हाँ,हाँ,हाँ,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),36–45 वर्ष,5 वर्ष से अधिक,5 मीटर से अधिक,🌞 दिन की शिफ्ट,10–12 घंटे,🙂 सामान्य,हाँ,हाँ,नहीं,नहीं,नहीं,हाँ,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),36–45 वर्ष,5 वर्ष से अधिक,1–3 मीटर,🌙 रात की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
हेल्पर (Helper),18–25 वर्ष,1–3 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,5 वर्ष से अधिक,1–3 मीटर,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,पता नहीं,नहीं,हाँ,नहीं,नहीं,🟡 मध्यम जोखिम
पर्यवेक्षक / सुपरवाइजर (Supervisor),26–35 वर्ष,3–5 वर्ष,1–3 मीटर,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
मशीन ऑपरेटर (Machine Operator),18–25 वर्ष,5 वर्ष से अधिक,5 मीटर से अधिक,🌞 दिन की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,नहीं,हाँ,नहीं,हाँ,हाँ,🔴 बहुत अधिक जोखिम
पर्यवेक्षक / सुपरवाइजर (Supervisor),45 वर्ष से अधिक,3–5 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
पर्यवेक्षक / सुपरवाइजर (Supervisor),18–25 वर्ष,1 वर्ष से कम,3–5 मीटर,🌙 रात की शिफ्ट,10–12 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,हाँ,नहीं,नहीं,हाँ,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),26–35 वर्ष,3–5 वर्ष,5 मीटर से अधिक,🌞 दिन की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,हाँ,हाँ,हाँ,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),26–35 वर्ष,1 वर्ष से कम,1–3 मीटर,🌙 रात की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,पता नहीं,नहीं,हाँ,नहीं,नहीं,🟡 मध्यम जोखिम
मशीन ऑपरेटर (Machine Operator),18–25 वर्ष,5 वर्ष से अधिक,1–3 मीटर,🌙 रात की शिफ्ट,8–10 घंटे,😐 थोड़ा तनावग्रस्त,हाँ,नहीं,पता नहीं,नहीं,हाँ,नहीं,नहीं,🟡 मध्यम जोखिम
हेल्पर (Helper),18–25 वर्ष,1 वर्ष से कम,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),45 वर्ष से अधिक,1–3 वर्ष,3–5 मीटर,🌞 दिन की शिफ्ट,12 घंटे से अधिक,🙂 सामान्य,हाँ,हाँ,नहीं,नहीं,नहीं,हाँ,नहीं,🔴 बहुत अधिक जोखिम
राजमिस्त्री (Mason),36–45 वर्ष,1–3 वर्ष,5 मीटर से अधिक,🌞 दिन की शिफ्ट,12 घंटे से अधिक,😐 थोड़ा तनावग्रस्त,हाँ,हाँ,नहीं,नहीं,हाँ,नहीं,हाँ,🔴 बहुत अधिक जोखिम
पर्यवेक्षक / सुपरवाइजर (Supervisor),18–25 वर्ष,1–3 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8 घंटे से कम,😄 खुश,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),36–45 वर्ष,1–3 वर्ष,1 मीटर से कम,🌞 दिन की शिफ्ट,8–10 घंटे,🙂 सामान्य,हाँ,नहीं,हाँ,नहीं,नहीं,नहीं,नहीं,🟢 सुरक्षित
खुदाई कार्यकर्ता (Excavation Worker),26–35 वर्ष,1 वर्ष से कम,5 मीटर से अधिक,🌙 रात की शिफ्ट,10–12 घंटे,🙂 सामान्य,हाँ,नहीं,नहीं,नहीं,हाँ,हाँ,नहीं,🔴 बहुत अधिक जोखिम
